source_domain,action
github.com,"Competitors are linked via popular repos/orgs/READMEs; ensure Omni's public repos, SDKs, and examples are easy to find and link back to omni.co."
github.io,"GitHub Pages' shared domain (many independent project/user sites, not one org); make sure any Omni docs, demos, or examples hosted on GitHub Pages link back to omni.co -- there is no single site to pitch here."
ycombinator.com,"Aggregates ycombinator.com and news.ycombinator.com (Hacker News); links likely come from HN discussion threads and/or the YC company directory -- engage authentically in relevant threads (e.g. Show HN, data-tooling posts) rather than pitching a single contact."
webcatalog.io,"App catalog of 50,000+ web apps with a public 'Submit an app' flow; submit Omni so it is listed alongside Sigma/Hex/Mode/Lightdash."
castordoc.com,"Product now branded 'Catalog' by Coalesce (rebranded after CastorDoc was acquired); their integrations page already lists Tableau/Power BI -- pitch Omni for the same page, addressed to the Coalesce/Catalog team, not the legacy CastorDoc name."
sbookscan.com,"Large auto-aggregated 'submit your link' directory (~1M listed sites, not editorially curated); low outreach value -- at most a quick 'Add Your Link' submission, not worth prioritizing over the dev-tooling targets above."
getcollate.io,Collate (built on OpenMetadata) is a data-catalog + AI platform; pitch inclusion in their supported-integrations content or a technical guest post on data discovery.
statussight.com,"Aggregates real-time status pages for 3,000+ SaaS tools (GitHub, Zoom, Notion, Figma, etc.); check whether they take submissions to track a new service and request Omni's status page be added."
getdbt.tech,"Domain does not resolve (DNS zone exists, no A record -- registered but not live); category is a naming-pattern guess only. Do not pitch content sight-unseen -- confirm by hand whether a live site exists first."
cyberdb.co,"Vendor database scoped to cybersecurity + 'enterprise AI' categories, not BI/analytics by name; lower-confidence fit -- if pursued, ask info@cyberdb.co whether an AI-driven analytics vendor fits their AI category before investing more time."
blazesql.com,AI SQL/data-analyst chatbot tool; pitch a technical comparison or integration guide covering BlazeSQL alongside a governed BI layer like Omni.
cotera.co,AI agents platform connected to the data warehouse/CRM; pitch a technical integration guide showing their agents acting on data modeled and served through Omni.
montecarlo.ai,Pitch inclusion in their data/AI observability partner or integrations content.
plushcap.com,Developer-marketing intelligence platform that already tracks 536 dev-tool companies across 73 market categories; ask to be added as a tracked company -- also worth evaluating as a competitive-intel tool for Omni's own growth team.
backlinks.sbs,Domain does not resolve (no DNS delegation) and the name pattern is consistent with a link-scheme site; recommend excluding from outreach entirely rather than investigating further.
padiso.co,Fractional-CTO consulting firm whose blog already covers BI tooling (published a 'Superset vs Tableau' piece and semantic-layer content); pitch Omni for their next BI/semantic-layer comparison post.
google.com,"No single addressable owner; the domain-level graph can't say which Google-hosted property (Workspace Marketplace, Groups, Sites, Cloud partner page, etc.) carries the link -- not a targeted outreach opportunity from this data alone."
blogspot.com,"Aggregates many independent Blogger-hosted personal blogs; domain-level data can't identify which post links out, and Blogger isn't a channel Omni would maintain a presence on -- no actionable pitch from this data alone."
greenhouse.io,"ATS/job-board platform with customer case studies and a hosted jobs board; if Omni uses Greenhouse for hiring, verify the public job board links to omni.co -- a customer case study is a secondary long-shot if Omni becomes a Greenhouse customer."
coda.io,All-in-one workspace with 600+ integrations and an explicit competitor-comparison content pattern (Notion/Confluence/Airtable); pitch a Coda integration or template featuring embedded Omni dashboards.
builtin.com,"Hybrid jobs + company directory (500K+ jobs, 100K+ companies) with editorial tech content; claim/verify an Omni company profile -- the more likely link source than an editorial article."
hightouch.com,Composable CDP with a 300+ tool integrations directory and 'Compare CDPs' content; pursue a listed integration or contribute to their comparison content.
fivetran.com,ELT platform with a public connectors directory (900+ sources/destinations) and partner directory (partners.fivetran.com); pursue a technology/partner listing or destination connector.
welcometothejungle.com,"Employer-branding/job-board platform; competitors' links likely come from their own employer profile and job listings -- if Omni is not already listed, create a profile and post open roles."
rudderstack.com,"Customer Data Platform (CDP) with a public integrations library (200+ pre-built integrations, 'Explore the integration library'); pursue a listed integration, the same play already pitched to Hightouch and Fivetran above."
